external_id,timestamp,amount,currency,counterparty,raw_category_hint
SYN-0000053,2026-01-03T22:37:07+00:00,18205.61,USD,"Robinson, Jones and Welch",wire
SYN-0000054,2026-01-06T07:18:27+00:00,4790.56,USD,Jones Inc,
SYN-0000055,2026-01-07T19:19:27+00:00,4588.02,USD,Jones-Young,wire
SYN-0000056,2026-01-04T15:49:47+00:00,20200.75,USD,"Washington, Ryan and Cummings",wire
SYN-0000057,2026-01-05T18:04:18+00:00,16303.97,USD,"Johnston, Sanchez and Kennedy",
SYN-0000058,2026-01-01T17:11:38+00:00,23159.25,USD,Lee-Davis,
SYN-0000059,2026-01-09T01:45:59+00:00,12141.54,USD,Gomez-Jenkins,wire
SYN-0000060,2026-01-20T11:14:44+00:00,4116.76,USD,"Brown, Valdez and Lucas",
SYN-0000061,2026-01-19T22:52:27+00:00,not-a-number,USD,Powell LLC,
SYN-0000062,2026-01-23T02:07:23+00:00,10575.76,USD,Wright and Sons,
SYN-0000063,2026-01-27T23:31:01+00:00,17960.49,USD,"West, Henderson and Ramirez",fee
SYN-0000064,2026-01-15T09:41:22+00:00,24217.77,USD,Baxter Inc,
SYN-0000065,2026-01-27T07:42:11+00:00,18699.64,USD,Morton-Chase,
SYN-0000066,2026-01-29T08:36:58+00:00,12571.76,USD,Williams PLC,wire
SYN-0000067,2026-01-08T15:25:20+00:00,24019.51,USD,Novak and Sons,
SYN-0000068,2026-01-10T00:30:06+00:00,14876.28,USD,Russell Group,
SYN-0000069,2026-01-12T10:01:56+00:00,2998.05,USD,Hancock Inc,wire
SYN-0000070,2026-01-12T22:51:42+00:00,14863.38,USD,Gray Group,internal_transfer
SYN-0000071,2026-01-21T08:25:56+00:00,14592.22,USD,House-Glover,fee
SYN-0000072,2026-01-13T15:48:50+00:00,16743.48,USD,Henderson-Bernard,
SYN-0000073,2026-01-13T21:27:48+00:00,3272.83,USD,"Stanley, Tucker and Lee",wire
SYN-0000074,2026-01-23T04:42:18+00:00,23225.53,USD,Novak PLC,
SYN-0000075,2026-01-01T10:51:11+00:00,15529.36,USD,"Daniels, Adkins and Brown",wire
SYN-0000076,2026-01-05T20:29:11+00:00,13441.32,USD,"Woods, Calhoun and Schmidt",
SYN-0000077,2026-01-07T10:19:23+00:00,22021.72,USD,Yu Inc,
SYN-0000078,2026-01-18T22:31:48+00:00,3944.51,USD,Jones Inc,
SYN-0000079,2026-01-15T16:27:28+00:00,24596.35,USD,"Hensley, Powell and David",internal_transfer
SYN-0000080,2026-01-26T16:15:38+00:00,16696.91,USD,"Sanchez, Wheeler and Harvey",
SYN-0000081,2026-01-06T00:41:13+00:00,6612.38,USD,Sandoval-Cunningham,
SYN-0000082,2026-01-27T20:33:08+00:00,6809.43,USD,Donovan-Harris,
SYN-0000083,2026-01-17T15:29:04+00:00,17187.74,USD,"Edwards, Baker and Anderson",
SYN-0000084,2026-01-25T12:50:39+00:00,6278.78,USD,"Evans, Stewart and Walton",wire
SYN-0000085,2026-01-03T11:11:06+00:00,15857.48,USD,Smith PLC,
SYN-0000086,2026-01-03T03:21:53+00:00,8339.58,USD,"Ferrell, Jones and Lewis",
SYN-0000087,2026-01-13T17:12:00+00:00,18531.03,USD,Anderson-Bailey,
SYN-0000088,2026-01-21T18:17:28+00:00,242.73,USD,Suarez LLC,internal_transfer
SYN-0000089,2026-01-08T05:39:38+00:00,901.67,USD,Moore-Bass,internal_transfer
SYN-0000090,2026-01-27T19:44:18+00:00,10745.24,USD,"Turner, Riggs and Roman",
SYN-0000091,2026-01-18T16:50:59+00:00,24304.93,USD,"Smith, Montoya and Evans",refund
SYN-0000092,2026-01-18T08:52:40+00:00,3336.33,usd,"Garcia, Humphrey and Baker",
SYN-0000093,2026-01-20T17:27:50+00:00,18737.19,USD,Newton and Sons,internal_transfer
SYN-0000094,2026-01-12T11:49:08+00:00,4063.38,USD,Campbell-Clark,refund
SYN-0000095,2026-01-09T14:16:51+00:00,620.63,USD,Harris-Walters,wire
SYN-0000096,2026-01-17T03:01:26+00:00,23270.47,USD,Wagner-King,refund
SYN-0000097,2026-01-13T01:08:08+00:00,3980.79,USD,Davis Group,
SYN-0000098,2026-01-19T13:41:36+00:00,969.08,USD,Williams-Cook,refund
SYN-0000099,2026-01-10T16:31:09+00:00,22961.38,USD,Walsh LLC,refund
SYN-0000100,2026-01-12T01:10:04+00:00,592.59,USD,Figueroa PLC,
SYN-0000101,2026-01-16T22:27:10+00:00,21608.96,USD,"Patterson, Smith and Jones",
SYN-0000102,2026-01-14T13:12:15+00:00,16037.4,USD,"Mckee, Gardner and Davenport",
SYN-0000103,2026-01-27T00:44:11+00:00,23480.99,USD,"Tran, Jordan and Williams",
SYN-0000104,2026-01-13T16:20:15+00:00,14515.16,USD,Nolan-Flynn,
SYN-0000105,2026-01-02T20:34:22+00:00,14914.68,USD,Nolan and Sons,
SYN-0000106,2026-01-16T05:27:38+00:00,15155.62,USD,"Wright, Garcia and Deleon",wire
SYN-0000107,2026-01-19T16:47:06+00:00,4752.78,USD,Dickson-Brady,internal_transfer
SYN-0000108,2026-01-22T04:02:37+00:00,12998.49,USD,Hancock and Sons,
SYN-0000109,2026-01-10T13:33:45+00:00,10783.0,USD,Johnson-Doyle,
SYN-0000110,2026-01-17T00:42:39+00:00,7848.58,USD,Patton-Jenkins,internal_transfer
SYN-0000111,2026-01-15T13:54:02+00:00,7732.81,USD,"Shields, Cochran and Adams",internal_transfer
SYN-0000112,2026-01-20T12:49:49+00:00,7392.08,USD,"Rodriguez, Brennan and Garrison",fee
SYN-0000113,2026-01-21T09:51:19+00:00,23509.15,USD,Gonzalez Group,fee
SYN-0000114,2026-01-09T10:45:23+00:00,14228.06,USD,Torres-Pope,internal_transfer
SYN-0000115,2026-01-01T00:28:22+00:00,7173.56,USD,Walker Ltd,
SYN-0000116,2026-01-29T03:43:52+00:00,16367.99,USD,Ross LLC,internal_transfer
SYN-0000117,2026-01-22T11:09:12+00:00,5343.32,USD,Rasmussen LLC,fee
SYN-0000118,2026-01-09T05:42:17+00:00,2120.8,USD,May-Ross,fee
SYN-0000119,2026-01-17T06:31:21+00:00,20460.77,USD,"Rivera, Johnson and Wiley",
SYN-0000120,2026-01-16T01:39:53+00:00,20164.27,USD,White-Estes,
SYN-0000121,2026-01-03T05:50:34+00:00,24598.42,USD,Johnson-Carlson,
SYN-0000122,2026-01-04T12:51:03+00:00,10361.61,USD,Chandler-Edwards,wire
SYN-0000123,2026-01-10T10:32:00+00:00,17409.16,USD,"Joyce, Wilson and Lam",fee
SYN-0000124,2026-01-12T20:15:44+00:00,16401.79,USD,Scott Ltd,
SYN-0000125,2026-01-06T04:10:59+00:00,not-a-number,USD,Smith-Frost,refund
SYN-0000126,2026-01-09T12:55:22+00:00,23949.19,USD,"Mcdaniel, Bentley and Mclaughlin",refund
SYN-0000127,2026-01-03T10:30:31+00:00,6230.71,USD,Diaz Inc,internal_transfer
SYN-0000128,2026-01-23T03:48:59+00:00,20035.61,USD,"Mccall, Hanson and Alvarado",
SYN-0000129,2026-01-28T03:11:42+00:00,7933.13,USD,Cortez LLC,internal_transfer
SYN-0000130,2026-01-22T11:38:07+00:00,20375.35,USD,"Parker, Ortiz and Powell",internal_transfer
SYN-0000131,2026-01-21T17:11:20+00:00,22671.46,USD,Spencer-Lee,refund
SYN-0000132,2026-01-08T17:25:56+00:00,21537.51,USD,"Bentley, Byrd and Orr",fee
SYN-0000133,2026-01-13T00:03:18+00:00,15941.9,USD,"Carroll, Sullivan and Bass",refund
SYN-0000134,2026-01-26T07:21:29+00:00,15669.08,USD,Mitchell-Jordan,wire
SYN-0000135,2026-01-04T18:16:28+00:00,7143.92,USD,"Lawson, Morris and Ramos",fee
SYN-0000136,2026-01-16T12:29:19+00:00,2015.36,USD,"Lewis, Kennedy and Santana",internal_transfer
SYN-0000137,2026-01-19T14:16:06+00:00,3820.98,USD,"Jackson, Miller and Robertson",fee
SYN-0000138,2026-01-21T03:21:22+00:00,8272.7,USD,"Harvey, Davis and Crane",wire
SYN-0000139,2026-01-04T00:32:41+00:00,20822.45,USD,Chambers and Sons,
SYN-0000140,2026-01-29T08:30:06+00:00,489.28,USD,Hernandez Inc,fee
SYN-0000141,2026-01-28T22:43:40+00:00,11925.02,USD,Riggs PLC,wire
SYN-0000142,2026-01-15T11:54:32+00:00,9750.28,USD,Gibson Ltd,refund
SYN-0000143,2026-01-21T08:11:42+00:00,18688.14,USD,"Lee, Horton and Snyder",internal_transfer
SYN-0000144,2026-01-30T06:50:24+00:00,12206.25,USD,Hernandez Ltd,
SYN-0000145,2026-01-24T13:48:50+00:00,9722.04,USD,Stafford Inc,
SYN-0000146,2026-01-20T15:03:47+00:00,4126.95,USD,Robinson-Brock,fee
SYN-0000147,2026-01-07T04:41:49+00:00,13353.56,USD,"Holmes, Williams and Wright",internal_transfer
SYN-0000148,2026-01-29T17:36:18+00:00,16575.33,USD,Bryant Group,internal_transfer
SYN-0000149,2026-01-21T19:22:12+00:00,21671.42,USD,"Schmidt, Hansen and Stewart",
SYN-0000150,2026-01-13T15:06:14+00:00,8184.49,USD,Salazar-Ball,wire
SYN-0000151,2026-01-17T09:12:59+00:00,21991.12,USD,"Simmons, Meadows and Griffin",refund
SYN-0000152,2026-01-21T11:09:31+00:00,20872.94,USD,Manning Group,
SYN-0000153,2026-01-27T04:28:07+00:00,24997.7,USD,Green-Wright,
SYN-0000154,2026-01-04T07:56:46+00:00,23932.18,USD,"Ramirez, Strickland and Washington",refund
SYN-0000155,2026-01-02T12:09:09+00:00,4984.82,USD,Hill Inc,
SYN-0000156,2026-01-08T09:32:17+00:00,53874.00,USD,,
SYN-0000157,2026-01-11T13:56:49+00:00,17486.92,USD,"Mitchell, Nelson and Flores",wire
SYN-0000158,2026-01-09T03:29:18+00:00,15181.58,USD,"Miller, Hernandez and Reyes",internal_transfer
SYN-0000159,2026-01-06T13:26:25+00:00,20482.71,USD,Mccarthy Inc,refund
SYN-0000160,2026-01-06T05:56:39+00:00,642.93,USD,Russell-Daniels,internal_transfer
SYN-0000161,2026-01-19T05:15:51+00:00,23536.82,USD,Brown-Wall,wire
SYN-0000162,2026-01-29T17:50:38+00:00,20764.46,USD,Stein-Silva,fee
SYN-0000163,2026-01-15T15:22:09+00:00,17106.79,USD,"Smith, Gilmore and Johnston",refund
SYN-0000164,2026-01-28T11:21:33+00:00,1027.69,USD,Smith-Bell,refund
SYN-0000165,2026-01-18T23:44:46+00:00,12649.51,USD,Castaneda-Ashley,
SYN-0000166,2026-01-21T09:24:14+00:00,12255.55,USD,Medina-Navarro,refund
SYN-0000167,2026-01-18T13:58:46+00:00,22289.48,USD,"Hurst, Freeman and Nelson",fee
SYN-0000168,2026-01-08T10:14:51+00:00,4404.25,USD,Johnson-Rogers,wire
SYN-0000169,2026-01-14T02:40:07+00:00,20205.17,USD,"Yates, Ramsey and Pittman",internal_transfer
SYN-0000170,2026-01-24T11:18:55+00:00,10889.93,USD,Hooper PLC,wire
SYN-0000171,2026-01-14T00:42:12+00:00,21292.98,USD,Meadows PLC,
SYN-0000172,2026-01-05T04:58:10+00:00,22040.9,USD,"Alvarado, Miller and Patterson",
SYN-0000173,2026-01-23T13:25:28+00:00,15258.68,USD,White-Green,internal_transfer
SYN-0000174,2026-01-02T09:26:16+00:00,21273.97,USD,Lewis-Murphy,wire
SYN-0000175,2026-01-11T07:08:15+00:00,19946.01,USD,Ramirez-Bean,
SYN-0000176,2026-01-29T22:34:15+00:00,22002.8,USD,King-Miller,fee
SYN-0000177,2026-01-26T01:54:51+00:00,2141.24,USD,Curry Inc,
SYN-0000178,2026-01-24T17:14:04+00:00,18954.36,USD,Walker-Jones,internal_transfer
SYN-0000179,2026-01-24T19:50:53+00:00,19823.53,USD,"Williams, Johnson and Wright",wire
SYN-0000180,2026-01-11T18:10:42+00:00,17294.99,USD,Howell and Sons,wire
SYN-0000181,2026-01-29T05:33:40+00:00,11832.04,USD,Wells Inc,
SYN-0000182,2026-01-21T15:44:52+00:00,13760.16,USD,"Gould, Marshall and Scott",fee
SYN-0000183,2026-01-23T00:39:05+00:00,7666.27,USD,Jackson-Lawson,
SYN-0000184,2026-01-10T08:22:37+00:00,2989.75,USD,"Higgins, Strickland and Martin",
SYN-0000185,2026-01-09T23:42:54+00:00,5410.4,USD,Rodriguez-Johnson,
SYN-0000186,2026-01-29T14:55:06+00:00,13116.4,USD,Johnston-Odonnell,refund
SYN-0000187,2026-01-05T21:07:17+00:00,4853.75,USD,Sanders-Espinoza,refund
SYN-0000188,2026-01-09T17:03:52+00:00,354.7,USD,Vargas Ltd,
SYN-0000189,2026-01-14T07:35:45+00:00,24357.4,USD,Garcia LLC,
SYN-0000190,2026-01-07T03:07:34+00:00,21711.66,USD,"Burke, Martinez and Riggs",fee
SYN-0000191,2026-01-01T14:17:24+00:00,7109.2,USD,Reed Group,internal_transfer
SYN-0000192,2026-01-17T12:57:04+00:00,24137.48,USD,"Wood, Hunter and Peterson",
SYN-0000193,2026-01-24T04:35:41+00:00,20553.07,USD,Short-Garcia,
SYN-0000194,2026-01-04T14:18:43+00:00,15736.51,USD,Reid-Poole,internal_transfer
SYN-0000195,2026-01-08T05:49:40+00:00,14071.43,USD,"Hernandez, Thompson and Boyd",refund
SYN-0000196,2026-01-13T01:09:48+00:00,13952.27,USD,"Nelson, Morton and Medina",
SYN-0000197,2026-01-29T22:32:17+00:00,15460.84,USD,Marshall-Petersen,refund
SYN-0000198,2026-01-19T11:10:21+00:00,22712.7,USD,"Adams, Christian and Rivas",wire
SYN-0000199,2026-01-29T13:40:53+00:00,7635.2,USD,Ramirez Group,wire
SYN-0000200,2026-01-30T14:16:17+00:00,2481.74,USD,Christensen PLC,fee
SYN-0000201,2026-01-11T05:51:43+00:00,16511.04,USD,"Barnett, Rogers and Snyder",
SYN-0000202,2026-01-09T10:30:26+00:00,1877.55,USD,White-Lewis,internal_transfer
SYN-0000203,2026-01-22T20:52:29+00:00,not-a-number,USD,Peterson-Beard,fee
SYN-0000204,2026-01-15T03:20:30+00:00,5787.67,USD,"Beard, Peters and Black",
SYN-0000205,2026-01-23T00:59:05+00:00,17184.94,USD,Miller Ltd,
SYN-0000206,2026-01-29T15:09:16+00:00,20097.84,USD,Freeman-Chang,fee
SYN-0000207,2026-01-06T13:43:26+00:00,5621.01,USD,"Alvarez, Joseph and West",internal_transfer
SYN-0000208,2026-01-13T21:29:03+00:00,3556.76,USD,Davis and Sons,refund
SYN-0000209,2026-01-15T22:23:37+00:00,18724.19,USD,Holt-Torres,internal_transfer
SYN-0000210,2026-01-15T00:15:20+00:00,3109.72,USD,"Wood, Tran and Cooper",wire
SYN-0000211,2026-01-20T12:57:23+00:00,12512.3,USD,"Pierce, Bell and Chavez",
SYN-0000212,2026-01-04T21:43:17+00:00,997.48,USD,King-Martinez,internal_transfer
SYN-0000213,2026-01-16T15:31:54+00:00,6259.95,USD,Stewart Ltd,internal_transfer
SYN-0000214,2026-01-28T22:09:19+00:00,23769.71,USD,"Tapia, Vaughn and Lee",internal_transfer
SYN-0000215,2026-01-14T02:00:11+00:00,1006.75,USD,"Washington, Hardy and Bray",internal_transfer
SYN-0000216,2026-01-23T20:10:23+00:00,16288.09,USD,"Carlson, Hooper and Wall",internal_transfer
SYN-0000217,2026-01-09T19:27:00+00:00,10897.69,USD,Perez-White,internal_transfer
SYN-0000218,2026-01-05T10:18:18+00:00,8699.68,USD,Erickson and Sons,wire
SYN-0000219,2026-01-06T01:52:03+00:00,4021.46,USD,Williams-Brown,refund
SYN-0000220,2026-01-25T01:15:47+00:00,16564.93,USD,Terry-Martinez,
SYN-0000221,2026-01-27T16:54:32+00:00,11371.19,USD,Garcia-Smith,
SYN-0000222,2026-01-16T16:38:28+00:00,24254.65,USD,Harrison-Alexander,
SYN-0000223,2026-01-25T23:32:53+00:00,24702.99,USD,Sheppard LLC,refund
SYN-0000224,2026-01-27T08:10:02+00:00,10331.78,USD,Wilson-Jones,wire
SYN-0000225,2026-01-18T13:30:12+00:00,18911.32,USD,Jones-Soto,internal_transfer
SYN-0000226,2026-01-03T12:07:55+00:00,6677.14,USD,Hernandez PLC,
SYN-0000227,2026-01-14T23:34:41+00:00,22021.28,USD,Miller-Wright,wire
SYN-0000228,2026-01-02T09:38:07+00:00,15222.18,USD,"Duran, Obrien and Gibbs",fee
SYN-0000229,2026-01-08T16:31:26+00:00,13771.42,USD,Rowe Group,
SYN-0000230,2026-01-05T12:35:47+00:00,24806.44,USD,Kerr-Evans,
SYN-0000231,2026-01-23T09:37:32+00:00,16193.09,USD,"Branch, Torres and Oliver",
SYN-0000232,2026-01-15T04:02:36+00:00,17635.59,USD,"Choi, Garcia and Farmer",internal_transfer
SYN-0000233,2026-01-24T10:09:09+00:00,6094.03,USD,"Clark, Guerrero and Moore",wire
SYN-0000234,2026-01-19T14:54:36+00:00,23046.78,USD,Arnold and Sons,
SYN-0000235,2026-01-07T15:02:37+00:00,1746.18,USD,Ortiz Ltd,refund
SYN-0000236,2026-01-21T03:26:34+00:00,23356.28,USD,"Harrison, Johnson and Roberts",
SYN-0000237,2026-01-01T02:59:19+00:00,18151.55,USD,Warner-Gibson,
SYN-0000238,2026-01-29T03:39:34+00:00,12241.52,USD,"Hall, Baker and Moody",fee
SYN-0000239,2026-01-27T03:29:30+00:00,8628.75,USD,"Guerrero, Peck and Coleman",wire
SYN-0000240,2026-01-27T09:08:30+00:00,11384.16,USD,"Walker, Hernandez and Baker",wire
SYN-0000241,2026-01-10T03:47:45+00:00,5970.9,USD,Jones and Sons,fee
SYN-0000242,2026-01-20T22:35:15+00:00,7955.09,USD,Larson-Holloway,
SYN-0000243,2026-01-19T12:09:59+00:00,24710.36,USD,Gonzales-Harrison,wire
SYN-0000244,2026-01-08T09:12:55+00:00,24120.65,USD,Lyons-Bender,wire
SYN-0000245,2026-01-29T15:36:36+00:00,21742.64,USD,"Fernandez, Kim and George",
SYN-0000246,2026-01-22T08:59:38+00:00,13149.25,USD,Navarro-Munoz,
SYN-0000247,2026-01-07T23:57:11+00:00,21773.45,USD,Davis Ltd,wire
SYN-0000248,2026-01-04T15:10:52+00:00,19538.35,USD,"Matthews, Smith and Hubbard",wire
SYN-0000249,2026-01-20T07:06:05+00:00,2008.8,USD,Johnston-Hines,fee
SYN-0000250,2026-01-26T21:42:54+00:00,23853.54,USD,Ruiz Ltd,wire
SYN-0000251,2026-01-24T16:30:00+00:00,13525.86,USD,Moon-White,refund
SYN-0000252,2026-01-12T09:31:37+00:00,17110.3,USD,"Graham, Olsen and Costa",fee
SYN-0000253,2026-01-12T01:02:26+00:00,2260.39,USD,Bailey-Cook,fee
SYN-0000254,2026-01-05T21:05:57+00:00,4159.95,USD,"Garcia, Martin and Jenkins",wire
SYN-0000255,2026-01-02T09:43:33+00:00,8110.04,USD,Roberts-Landry,
SYN-0000256,2026-01-18T09:38:24+00:00,10767.74,USD,"Johnson, Miller and King",
SYN-0000257,2026-01-21T00:04:30+00:00,17045.33,USD,Cordova Group,internal_transfer
SYN-0000258,2026-01-09T11:58:14+00:00,15237.69,USD,"Bryan, Smith and Booth",
SYN-0000259,2026-01-12T16:35:13+00:00,22820.81,USD,Gutierrez-Lopez,wire
SYN-0000260,2026-01-23T09:16:42+00:00,6350.18,USD,Dean-Jimenez,fee
SYN-0000261,2026-01-01T10:56:55+00:00,11631.87,USD,Wolf-Harris,refund
SYN-0000262,2026-01-27T12:49:58+00:00,1847.47,USD,"Anderson, Roberts and Gilmore",
SYN-0000263,2026-01-29T12:34:14+00:00,15973.83,USD,Martinez-Dudley,
SYN-0000264,2026-01-13T03:23:07+00:00,21132.75,USD,"Lloyd, Mckinney and Collins",wire
SYN-0000265,2026-01-19T16:12:00+00:00,12080.72,USD,Tran Inc,refund
SYN-0000266,2026-01-28T18:20:17+00:00,14370.72,USD,Gay Inc,
SYN-0000267,2026-01-15T07:58:07+00:00,24448.63,USD,Valentine-Holland,
SYN-0000268,2026-01-14T07:47:34+00:00,14148.66,USD,Jimenez Ltd,
SYN-0000269,2026-01-03T09:08:26+00:00,18629.56,USD,Hicks-Hill,internal_transfer
SYN-0000270,2026-01-14T21:26:25+00:00,19971.7,USD,Baird-Sanchez,refund
SYN-0000271,2026-01-18T02:29:01+00:00,15915.81,USD,"Thomas, Lee and Greene",
SYN-0000272,2026-01-07T15:21:33+00:00,2430.0,USD,"Suarez, Shields and Hill",fee
SYN-0000273,2026-01-02T21:55:50+00:00,19715.47,USD,Morgan-French,
SYN-0000274,2026-01-18T17:05:38+00:00,29341.00,USD,,
SYN-0000275,2026-01-21T04:05:46+00:00,5020.67,USD,Hoover-Campbell,
SYN-0000276,2026-01-18T18:15:17+00:00,12545.37,USD,Monroe-Carpenter,internal_transfer
SYN-0000277,2026-01-08T23:42:29+00:00,22851.31,USD,"Burns, Hernandez and Ryan",
SYN-0000278,2026-01-15T07:51:52+00:00,21760.05,USD,Cook-Hines,fee
SYN-0000279,2026-01-23T17:38:44+00:00,3519.78,USD,Gibson-Morris,
SYN-0000280,2026-01-20T07:01:04+00:00,20114.89,USD,Pollard and Sons,refund
SYN-0000281,2026-01-20T03:42:45+00:00,6612.2,USD,"Reyes, Chase and Jenkins",
SYN-0000282,2026-01-18T21:26:00+00:00,18725.54,USD,Garner-Thornton,fee
SYN-0000283,2026-01-19T11:55:36+00:00,15964.09,USD,Hughes-Alvarado,refund
SYN-0000284,2026-01-12T08:25:20+00:00,626.59,USD,"Pollard, Simpson and Johnson",wire
SYN-0000285,2026-01-28T06:05:13+00:00,22881.48,USD,"Sanford, Rivera and Garcia",
SYN-0000286,2026-01-04T01:39:11+00:00,20596.56,USD,Garcia-Lozano,fee
SYN-0000287,2026-01-15T16:04:37+00:00,10207.99,USD,Bowen Group,fee
SYN-0000288,2026-01-02T19:21:18+00:00,24898.19,USD,"Booker, Jones and Harrington",
SYN-0000289,2026-01-12T09:33:42+00:00,3392.47,USD,Morgan-Schwartz,internal_transfer
SYN-0000290,2026-01-27T05:22:11+00:00,14683.92,USD,"Miller, Murphy and Craig",wire
SYN-0000291,2026-01-21T03:22:31+00:00,2476.44,USD,"James, Stewart and Higgins",fee
SYN-0000292,2026-01-20T19:29:22+00:00,818.87,USD,Brennan-Johnson,
SYN-0000293,2026-01-22T12:34:43+00:00,23763.93,USD,Young Ltd,wire
SYN-0000294,2026-01-05T19:45:23+00:00,9184.01,USD,Bright-Francis,fee
SYN-0000295,2026-01-18T09:53:07+00:00,9954.09,USD,Good-Hodges,
SYN-0000296,2026-01-06T22:19:34+00:00,20604.95,USD,"Brennan, Wallace and Benson",refund
SYN-0000297,2026-01-11T07:07:16+00:00,15987.68,USD,Williams Inc,fee
